date,title,url,bodyText,keywords,section
2025-07-30T15:00:31Z,Adani claims its export program helps contribute to sustainable energy – but experts say that’s ‘wilful disinformation’,https://www.theguardian.com/australia-news/2025/jul/31/adani-claims-its-export-program-helps-contribute-to-sustainable-energy-but-experts-say-thats-wilful-disinformation-ntwnfb,"An Adani claim that its Australian export program, whereby coal is sent through the Great Barrier Reef’s shipping channels, is advancing the United Nations’ sustainable development goals, has been denounced by leading scientists. Adani’s Queensland export site claims its operations “ensure access to affordable, reliable, sustainable and modern energy for all”, which is one of the UN’s 17 sustainable development goals. Australia, along with other UN members, adopted the goals in 2015, designed to address global challenges including poverty, justice, environmental degradation and climate change. The relevant UN goal is chiefly concerned with providing affordable and clean energy, which it says requires a substantial increase in renewable energy. Adani’s North Queensland Export Terminal (NQXT) near Bowen has the capacity to export 50m tonnes of coal a year. In its latest sustainability report, NQXT says it supports the UN goal by “enabling the export of high-quality Australian coal to the world”. One of Australia’s leading experts on the development goals, Prof John Thwaites, said the word “sustainable” in the UN goal was key. “I would argue that to ‘support the advancement of the sustainable development goals’, energy and port operations need to support sustainable energy,” said Thwaites, the chair of the Monash Sustainable Development Institute. “Simply exporting coal is not achieving or supporting the sustainability objective of the goals.” Sign up to get climate and environment editor Adam Morton’s Clear Air column as a free newsletter He said there were also numerous references in the UN goals for the need to take action on climate change, and that “simply exporting coal which will be burned and produce greenhouse gas emissions overseas” is not supportive of this. Another leading expert on the UN agenda, Dr Cameron Allen, said the intention of the energy development goal was to “focus on sustainable energy and clean energy and I don’t think fossil fuels or coal falls into that”. “I don’t think anyone would agree that it’s in line with the aims of that goal,” said Allen, from Monash University. “Exporting coal isn’t in line with the sentiment … or the language of the goal, which includes the word sustainable. The international climate change agreements also make it clear that burning fossil fuels is not sustainable.” Guardian Australia has been scrutinising various claims made by Adani after finding that its Carmichael coal operation has paid zero corporate tax in more than three years of operation, and may never do so. The Indian conglomerate had pledged to plough billions of dollars into the Australian economy through taxes and royalties when it was going through the contested approvals process to establish an open-cut coalmine in the Galilee Basin. In response to questions about how its operations advance the UN sustainability goals, a spokesperson for Adani’s Australian mining business, which is branded Bravus Mining and Resources, said coal exports helped combat poverty. “Developing nations in the Asia Pacific region use coal from the Carmichael mine alongside renewables to provide reliable and affordable energy solutions that help reduce poverty and power growth,” the Bravus spokesperson said. Adani’s port facility website also says its operations align with a UN goal to protect terrestrial ecosystems by managing its water on-site next to neighbouring wetlands. Traditional owners have raised concerns over the threat posed by the coal operations to the nearby Caley Valley, in claims rejected by Adani. In 2017 and 2019, flood waters were released from the port into the wetland. In the 2017 incident, the Queensland government later found the water that turned areas of the wetlands black from coal dust had not caused a widespread impact. Adani’s Carmichael mine, rail and port operation is among the most politically divisive projects in Australia, given it has opened up new fossil fuel reserves in a sensitive location at a time the country has pledged to transition to renewables. Claire Snyder, director of watchdog group Climate Integrity, said the NQXT claim amounted to aggressive greenwashing. “Framing coal exports as a contribution to sustainable development undermines global climate goals, misleads the public, and uses the authority of the UN to legitimise ongoing harm,” Snyder said. “Given what we know about coal’s role in driving climate breakdown, this is wilful disinformation and meaningless sustainability waffle to protect the social licence of coal.”",Adani Group; Australia news; Environment; Coal; Energy; Fossil fuels; Energy; United Nations; Queensland; Carmichael coalmine,Business
2025-07-03T17:04:48Z,How the global trade in donkey skins threatens the lives of women and girls | Letter,https://www.theguardian.com/global-development/2025/jul/03/how-the-global-trade-in-donkey-skins-threatens-the-lives-of-women-and-girls,"Re your editorial (The Guardian view on China, Africa and disappearing donkeys: an unexpected crisis offers a clue to perils ahead, 25 June), last year, The Donkey Sanctuary revealed at least 5.9 million donkeys are slaughtered for their skins every year to produce ejiao, a traditional Chinese medicine. Donkeys suffer at every stage – from capture and transport to brutal slaughter. With China’s donkey population depleted, the industry has turned to other countries in the global south. Despite its scale, this cruel trade remains largely unregulated and invisible, and it is women and girls who suffer most. For many, donkeys are much more than animals – they are co-workers and companions. When a donkey is stolen, household income can fall by 73%. In one Kenyan region, over 90% of women have experienced donkey theft. Children – especially girls – are taken out of school to do the “donkey work”. Every shocking statistic and voice of anguish in our report Stolen Donkeys, Stolen Futures is evidence that the donkey skin trade is undermining progress towards UN sustainable development goals of gender equality and poverty reduction. It is not only African donkeys that face an existential threat from the skin trade. In Brazil, the donkey population has dropped by 94% in the past 30 years, from 1.37 million in 1996 to around 78,000 in 2025. But there is hope. Legislators in Brazil have a once-in-a-generation opportunity to protect their donkeys when a bill banning their slaughter goes to its national congress. At the Pan-African Donkey Conference in Côte d’Ivoire last month, leaders across the continent called for coordinated action to protect donkeys and the communities they support. We must remember that this isn’t just about banning the skin trade for the sake of livelihoods – it’s about creating a better world for donkeys. These intelligent, sentient beings deserve respect, compassion and protection. Marianne Steele CEO, The Donkey Sanctuary, Sidmouth, Devon",Women's rights and gender equality; Animal welfare; Animals; United Nations; World news; Society; Globalisation; Africa; Brazil; China,Global development
2025-05-28T11:43:23Z,"Spain aims to ban flushing of wet wipes, with manufacturers paying for cleanup",https://www.theguardian.com/environment/2025/may/28/spain-to-ban-flushing-of-wet-wipes-with-manufacturers-paying-clean-up-costs,"The Spanish government is preparing a law that will oblige wet wipe manufacturers to cover the costs of cleaning huge wads of their product from the country’s clogged-up sewers and water-treatment plants. The draft legislation, which is intended to help Spain meet the UN Sustainable Development Goals and comply with EU legislation on reducing single-use plastic products, will also ban people from disposing of wet wipes down the toilet, as well as prohibiting the deliberate release of disposable party balloons containing plastic into the environment because of the marine pollution they cause. According to the law’s outline, wet wipes and balloons are among the 10 single-use plastic items most commonly found on beaches in the EU. “Wet wipes – even those made with natural polymers that haven’t been chemically modified – have a negative environmental impact and significantly affect the functioning of the sewer and purification networks,” the legislation says. “Because they do not disintegrate completely, they cause obstructions in the sewer system that reduce its water retention capacity and increase the risk of overflows – especially during spells of heavy rain.” The draft notes that microfibres from wet wipes also end up in rivers and other bodies of water, leaving local authorities with hefty cleanup bills and environmental fines. Figures from the Spanish Association of Water Supply and Sanitation put the annual cost of clearing wet wipes from sewer and purification systems at €230m (£190m). Given the environmental damage that wet wipes and balloons cause, the new law will oblige their manufacturers to cover the costs of cleaning up their products, “including cleaning of sanitation and treatment infrastructure, as well as its subsequent transport and treatment”. In addition to being responsible for regular collections of litter involving their products and sporadic spills, they will be obliged to cover the costs of “awareness-raising measures”. The draft also says that although genuinely biodegradable wipes will be exempt from the ban on “the disposal of wet wipes down the toilet”, the environment ministry recommends people do not throw any kinds of wet wipes down the loo “so as to minimise the impact on sewer infrastructure and the environment”. Asked how the proposed bans would work in practice, sources at the ministry stressed that the law was still a work in progress, adding: “Educating people and raising awareness are always important elements.”",Environment; Spain; Water; Europe; World news; Coastlines,Environment
2024-09-19T05:00:06Z,"Global AI fund needed to help developing nations tap tech benefits, UN says",https://www.theguardian.com/business/2024/sep/19/global-ai-fund-needed-to-help-developing-nations-tap-tech-benefits-un-says,"Governments and private companies should contribute to a global artificial intelligence fund that will allow developing nations to benefit from advances in the technology, according to a UN report. The fund would help provide models, computing power and AI-related training programmes, according to recommendations from the UN secretary general’s high-level AI advisory body. Dame Wendy Hall, professor of computer science at the University of Southampton and a member of the UN’s advisory body on AI, said the western world must not make the same mistakes with the technology that it made with the climate crisis. Referring to developing countries outside the northern hemisphere, Hall said states unable to invest in AI should be given help. “If we don’t address an issue like a global AI fund now, we risk going down the same route as we did with climate change where developed countries are able to address the problem and race ahead while the global south is left behind and doesn’t have the capacity to address it,” she said. The report recommends the creation of an accessible store of AI models and datasets (required to build models) that can help achieve the UN’s sustainable development goals, which include eliminating poverty and providing quality education. The report also recommends the creation of an international scientific panel on AI which would issue an annual report on AI-related “capabilities, opportunities, risks and uncertainties”. It warns that no global framework exists to govern AI and that the technology could be imposed on people without them having any say in the process. Last year, AI companies and several states committed to a voluntary agreement to test the most powerful AI models, while this month the UK signed an international treaty that aims to prevent misuses of AI. “To place its governance in the hands of a few developers, or countries that host them, will create a deeply unfair situation,” the report says, adding that the UN can host regular intergovernmental dialogue to foster common ground on managing the technology’s impact.",Technology sector; Artificial intelligence (AI); United Nations; Computing; Business; World news; Inequality; Global development; Sustainable development goals; Sustainable development; Environmental sustainability,Business
2025-07-22T13:27:46Z,Trump pulls US out of Unesco in blow for UN culture and education agency,https://www.theguardian.com/world/2025/jul/22/us-unesco-withdrawal-trump-united-nations,"The US will quit the United Nations’ culture and education agency Unesco, the US state department has said, as Donald Trump continues to pull out of international institutions. “Unesco works to advance divisive social and cultural causes and maintains an outsized focus on the UN’s sustainable development goals, a globalist, ideological agenda for international development at odds with our America First foreign policy,” a state department spokesperson, Tammy Bruce, said. The move is a blow to the Paris-based global organisation, founded after the second world war to promote peace through international cooperation in education, science and culture. The decision is part of the president’s second-term drive to pull the US out of a series of global bodies, including leaving the World Health Organization (WHO), halting funding to the Palestinian relief agency Unrwa and withdrawing from the UN human rights council, as part of a review of US participation in UN agencies. A US withdrawal, to take effect in December 2026, will be a blow to Unesco’s work on education, culture and combating hate speech. But officials at the Unesco headquarters in Paris had been braced for a potential US departure during Trump’s second term. The US provides about 8% of the body’s total budget, making the financial impact of Washington’s departure less severe than for other organisations, such as the WHO, for which the US is by far the biggest financial backer. The White House deputy spokesperson Anna Kelly told the New York Post: “President Trump has decided to withdraw the United States from Unesco – which supports woke, divisive cultural and social causes that are totally out of step with the commonsense policies that Americans voted for in November.” In February, the White House had announced a 90-day review of the US membership of Unesco, saying in a statement that the global body had “demonstrated failure to reform itself, has continually demonstrated anti-Israel sentiment over the past decade, and has failed to address concerns over mounting arrears”. Unesco, the United Nations Educational, Scientific and Cultural Organization, is best known for designating world heritage sites including the Grand Canyon in the US and the ancient city of Palmyra in Syria. It also has a large cultural and education programme to promote intercultural dialogue. The US was a founding member of Unesco in 1945, but this latest departure will be the third time it has quit. Washington first withdrew in 1983 under Ronald Reagan, whose administration said the global organisation had anti-western bias and “has extraneously politicised virtually every subject it deals with”. It rejoined under George W Bush in 2003, with the White House saying it was happy with Unesco reforms. Trump pulled the US out of Unesco in 2017, during his first term as president. His administration cited what it called “mounting arrears, the need for fundamental reform in the organisation, and continuing anti-Israel bias”. The US returned to Unesco in 2023 under Joe Biden. The Biden administration said it was crucial to rejoin in order to counter “Chinese influence”. Beijing had become the organisation’s biggest financial backer in Washington’s absence. As a condition of readmission, the US agreed to pay about $619m in unpaid dues and make contributions to programmes supporting education access initiatives in Africa, Holocaust remembrance and journalists’ safety. In 2011, Unesco voted to admit Palestine, which is not formally recognised by the US or Israel as a UN member state. The Barack Obama White House had cut Unesco contributions, resulting in the US owing millions in arrears to the organisation. Audrey Azoulay, the director general of Unesco, said: “However regrettable, this announcement was anticipated and Unesco has prepared for it.” Azoulay said she “deeply” regretted Trump’s decision to leave, saying the move “contradicts the fundamental principles of multilateralism”. She said the reasons given by the US for leaving were the same as during Trump’s first term, and she disputed them. “These claims contradict the reality of Unesco’s efforts, particularly in the field of Holocaust education and the fight against antisemitism.” Azoulay said Unesco had undertaken structural reforms and diversified its funding sources, so “the decreasing trend in the financial contribution of the US has been offset”. Unesco was not considering cutting jobs due to the US departure, she added.",Unesco; Donald Trump; United Nations; US news; Trump administration; Paris; US politics; World news,World news
2025-07-17T11:00:36Z,Will Mike Waltz lead a ‘full-frontal assault’ on the UN?,https://www.theguardian.com/global-development/2025/jul/17/mike-waltz-un-nominee-ambassador-global-development-signal-group-chat-scandal,"When and if Donald Trump’s nominee for ambassador to the UN, Mike Waltz, takes up the post, many are concerned that in his pursuit of the rehabilitation of his image, global development will not be a priority. Diplomats work for decades to be considered for the coveted position of ambassador, but in this case the role is a consolation prize for the 51-year-old former army colonel from Florida, says Richard Gowan, UN director of International Crisis Group. Gowan believes Waltz will be “very performative” as he attempts to rebuild his political brand after the scandal of reportedly adding a journalist to a Signal chat that contained sensitive information on planned military strikes in Yemen. He will have to follow the line coming from Washington, says Gowan. “There is a history of American politicians using the UN as a way to burnish their domestic credentials.” Global development professionals are concerned about what a hawkish Republican wanting to regain favour post-scandal could mean for the UN at a time when Trump is already causing significant damage to aid and development work. In a Senate confirmation hearing this week, Waltz said he would push for transparency and reforms within the UN while pursuing an “America first” agenda that would see the US ensuring “that every foreign aid dollar and every contribution to an international organisation, particularly the UN, draws a straight and direct line to a compelling US national interest”. Since January, the US has withdrawn its funding from several UN agencies, called for reviews of its involvement in all UN treaties and stopped engaging with the UN human rights council. Simultaneously, it has dismantled much of its own USAID agency. The US has historically been the largest donor to the UN. “This has put the UN in a huge financial crisis,” says Louis Charbonneau, UN director at Human Rights Watch, adding that it compromises humanitarian and human rights work globally. The appointment could also jeopardise global targets such as the sustainable development goals, says Beth Schlachter, senior director of US external relations at the family planning non-profit MSI Reproductive Choices. The Trump administration has denounced the goals as “adverse to the rights and interests of Americans”, and Schlachter believes its anti-rights stance influenced the omission of sexual and reproductive health rights from a UN political declaration on the human rights of women and girls this year. “How is there an agreement on women’s issues if you don’t agree to include that?” she asks. There was once consensus among member states on foundational UN agreements, and disagreements were about new additions, but now, led by the US, the basics can’t even be agreed upon, says Schlachter. With that in mind, the US is “staffing themselves to be able to pull things down”, she says. Waltz, who was vocal in his support for the 2022 Dobbs decision which upended Roe v Wade, limiting a woman’s right to an abortion in the US, and questioned the UN’s work on climate change at this week’s hearing, is of particular concern. Many UN projects focus on providing access to sexual health and reproductive rights and combatting the impact of global warming. He has, however, also shown support for human rights. In 2021, he was among the first members of Congress to call for the US to boycott the 2022 Beijing Winter Olympics in protest at China’s treatment of the Uyghur ethnic minority group. He told the Senate that the US needs a strong voice to counter China and if he is able to take a strong stance on China’s abuse of human rights and push these issues at the UN, that would be great, says Charbonneau. In New York, UN officials and diplomats are simply happy at the prospect of the role being filled, says Gowan. It has been vacant since Trump took office in January. “And there’s been no real political representative of the White House here that other countries can bargain with … [or] who represents Trump that [António] Guterres can talk to,” he says. But that doesn’t stop experts fearing that at the annual UN general assembly in September, Waltz will lead “an incredibly damaging full-frontal assault on the UN, its legitimacy as an organisation and the specific things that they don’t like – clearly everything related to women”, says Schlachter.",Global development; US politics; United Nations; Donald Trump; US news; World news; Trump administration,Global development
2025-07-01T17:53:32Z,"The Guardian view on Trump’s aid cuts and development: the global majority deserve justice, not charity | Editorial",https://www.theguardian.com/commentisfree/2025/jul/01/the-guardian-view-on-trumps-aid-cuts-and-development-the-global-majority-deserve-justice-not-charity,"When one door closes, you would hope that another opens. As USAID was formally shut down on Monday, a once-in-a-decade development financing conference was kicking off in Seville. But while initially intended to move the world closer to its ambitious 2030 sustainable development goals, it now looks more like an attempt to prevent a reversal of the progress already made. A study published in the Lancet predicted that Donald Trump’s aid cuts could claim more than 14 million lives by 2030, a third of them among children. For many poor countries, the scale of the shock would be similar to that of a major war, the authors found. More than four-fifths of the US agency’s programmes have been cut, with surviving projects folded into the state department. The US was by far the world’s largest donor to global development – though its contributions were a fraction of the G7 target of 0.7% of GDP. Yet the damage does not end there. Its move encouraged others to follow suit. The UK, Germany and France are slashing their aid budgets to spend more on defence. Oxfam says that the collective retrenchment by G7 nations is the biggest aid cut since 1960, with spending 26% lower in 2026 than it was last year. Don’t expect China or the Gulf states to fill this gaping hole. It is not just grim news for aid recipients. It bodes ill for all. It would be naive to imagine that aid is a high‑mindedly altruistic endeavour. Just as conflict breeds hunger and poverty, so injustice and deprivation breed instability and a more dangerous world. Slashing health budgets also increases the risks of another global pandemic. Developing countries hoped that the UN- and Spanish-hosted International Conference on Financing for Development would at least see a willingness to tackle an international financial system stacked against the global majority. Instead, the US, UK, EU and others shamefully acted as blockers, watering down the language on a UN intergovernmental process to tackle the debt crisis. The US reportedly proposed 400 amendments across a multitude of issues to the conference’s outcome document before pulling out entirely. Others will need to be held to their too-limited commitments. More than two-fifths of the global population live in low income countries which are in debt distress or close to it. Many poor African nations are spending more on debt financing than they do on health or education. Contrary to popular perception – and any sense of justice and decency – wealth is flowing from them to developed nations. The UN says that servicing debt cost developing countries $847bn last year, rising to $947bn this year. Yet developed countries are choosing to shore up an unfair global financial system. The keenness of the UK and others to focus on private sector‑oriented solutions looks like better news for the City than developing nations. The promise that private finance would turn “billions to trillions” was enthusiastically promoted a decade ago, yet largely failed to materialise. Despite the enduring inequality, the last few decades saw extraordinary progress in areas such as cutting child mortality. For all their flaws, USAID-funded programmes alone saved almost 92 million lives over 20 years. We know that remarkable leaps in human wellbeing are possible. We will all regret it if, in this time of conflict and crisis, we slam the door shut on such advances and block out the call of justice. Do you have an opinion on the issues raised in this article? If you would like to submit a response of up to 300 words by email to be considered for publication in our letters section, please click here.",USAID; US news; World news; Poverty; Society; Oxfam,Opinion
2025-07-30T20:55:40Z,"Morning Mail: Adani’s ‘sustainable’ coal claim denounced, NSW religious school boom, tsunami fears subside",https://www.theguardian.com/australia-news/2025/jul/31/morning-mail-thursday-ntwnfb,"Morning everyone. Scientists have denounced a claim by Adani that its exports of coal from Australia are helping advance sustainable development. In other news, Anthony Albanese is fighting off pressure from his backbenchers to take a tougher line on Israel, religious schools in New South Wales are growing fast, tsunami warnings have been downgraded in large parts of the Pacific, and the 10 Australian poetry collections you can’t miss. Australia Class divide | Enrolments in religious schools have increased by a record 30% in NSW in the past decade, new data shows – and not necessarily correlating with student beliefs. Independent schools in general have enrolled almost two-thirds of the state’s additional students since 2000. Rates hope | Yesterday’s low inflation figures have raised hope for an interest rates cut – indeed they show a cut is overdue, our regular columnist Greg Jericho points out. But slow growth is not all good news, our economics editor writes. ‘Wilful disinformation’ | An Adani claim that its Australian export program, whereby coal is sent through the Great Barrier Reef’s shipping channels, is advancing the United Nations’ sustainable development goals has been denounced by leading scientists. Car claims | Car companies continue to sell vehicles that use much more petrol and emit more toxic fumes than advertised, despite repeated investigations identifying discrepancies in marketing, an AAA report claims. Mushroom order | A court order has been placed on Erin Patterson’s house preventing it from being sold in case compensation claims are made against her for killing three members of her family with a deadly mushroom lunch. World Tsunami downgrade | A major tsunami is not expected to strike Hawaii after the first waves hit the islands after a powerful magnitude-8.8 earthquake struck off Russia’s eastern coast, one of the strongest ever recorded. However, authorities ordered evacuations on Ecuador and Chile’s Pacific islands. Follow developments live. Exclusive | A former CIA officer who helped lead the intelligence assessments over alleged Russia interference in the 2016 presidential election has said Tulsi Gabbard, the director of national intelligence, is ignorant of the practices of espionage after she accused Barack Obama and his national security team of “treasonous conspiracy” against Donald Trump. Migration boom | The population of England and Wales has grown by 700,000 – the second-largest annual increase in more than 75 years – largely due to international migration. ‘Moral failure’ | A British-Israeli woman who was held hostage by Hamas for more than 15 months has accused Keir Starmer of “moral failure” after he set the UK on course to recognise a Palestinian state. It comes as aid workers in Gaza said Israel’s new measures to improve the humanitarian situation fall short of what is needed. Climber dies | Laura Dahlmeier, a German double Olympic biathlon champion, has died days after she was seriously injured by a rockfall while climbing in the Karakoram in Pakistan. Full Story Why do we age in dramatic bursts, and what can we do about it? Ian Sample hears from Prof Michael Snyder about his study of ageing and how it might be a series of episodes rather than a linear process. In-depth Two decades ago, a historian warned Brisbane would become the first 200km city as it sprawled from Noosa to the NSW border. As the state government eschews putting more townhouses and apartments in existing city areas, Andrew Messenger reports on how the dire warning looks like coming true. Not the news Australian poetry is having a moment and to mark Australian Poetry Month the artistic directors of Red Room Poetry share a list of unmissable titles. From Ali Cobby Eckermann to Luke Davies, and from Nam Le to Judith Wright, there’s something for seasoned readers and newcomers alike. Sport Swimming | Mollie O’Callaghan carried on where she left off in the Olympics by winning the 200m freestyle at the world championships in Singapore on a night of mixed fortunes for Australia’s team. Cricket | Ben Stokes has been ruled out of the final Test match of England’s series against India starting at the Oval later today with a grade-three muscle tear in his shoulder. Media roundup The Age reports that Victoria has kept its AA credit rating despite the budget blowout from the suburban rail loop project. Weather experts think they might have found a new weapon to tackle the threat of another algal bloom in South Australia, the Advertiser reports. A prominent Gold Coast developer has died suddenly aged 39 while exercising at a gym, the Bulletin reports. What’s happening today Courts | Judgment expected at the federal court in X’s case against the eSafety commissioner. Economy | RBA deputy governor Andrew House speaks at the Barrenjoey Economic Forum in Sydney at 9.20am. Art | Archibald Prize people’s choice winner announced at 11am. Sign up If you would like to receive this Morning Mail update to your email inbox every weekday, sign up here, or finish your day with our Afternoon Update newsletter. You can follow the latest in US politics by signing up for This Week in Trumpland. Brain teaser And finally, here are the Guardian’s crosswords to keep you entertained throughout the day. Until tomorrow. Quick crossword Cryptic crossword",Australia news,Australia news
2025-07-10T12:47:24Z,"With the world in crisis, many say end globalisation. I say that would be a mistake | Luiz Inácio Lula da Silva",https://www.theguardian.com/commentisfree/2025/jul/10/world-crisis-end-globalisation-mistake-lula-da-silva,"The year 2025 should be a time of celebration, marking eight decades of the United Nations’ existence. But it risks going down in history as the year when the international order built since 1945 collapsed. The cracks had long been visible. Since the invasions of Iraq and Afghanistan, the intervention in Libya and the war in Ukraine, some permanent members of the security council have trivialised the illegal use of force. The failure to act vis-a-vis the genocide in Gaza represents a denial of the most basic values of humanity. The inability to overcome differences is fuelling a new escalation of violence in the Middle East, the latest chapter of which includes the attack on Iran. The law of the strongest also threatens the multilateral trading system. Sweeping tariffs disrupt value chains and push the global economy into a spiral of high prices and stagnation. The World Trade Organization has been hollowed out, and no one remembers the Doha development round. The 2008 financial collapse exposed the failure of neoliberal globalisation, but the world remained locked into the austerity playbook. The choice to bail out the ultra-wealthy and major corporations at the expense of ordinary citizens and small businesses has deepened inequality. In the past 10 years, the $33.9tn (£25tn) accumulated by the world’s richest 1% is equivalent to 22 times the resources needed to eradicate global poverty, according to a report by Oxfam. The stranglehold on the state’s capacity for action has led to public distrust in institutions. Discontent has become fertile ground for extremist narratives that threaten democracy and promote hate as a political project. Many countries have cut cooperation programmes instead of redoubling efforts to implement the sustainable development goals by 2030. The available resources are insufficient, the costs are high, access is bureaucratic, and the conditions imposed often fail to respect local realities. This is not about charity, but about addressing disparities rooted in centuries of exploitation, interference and violence against the peoples of Latin America and the Caribbean, Africa and Asia. In a world with a combined GDP of over $100tn, it is unacceptable that more than 700 million people still suffer from hunger and live without electricity or water. The richest countries bear the greatest historical responsibility for carbon emissions, yet it is the poorest who will suffer the most from the climate crisis. The year 2024 was the hottest in history, showing that reality is moving faster than the Paris agreement. The binding obligations of the Kyoto protocol were replaced by voluntary commitments, and the financing pledges made at COP 15 in Copenhagen in 2009 – promising $100bn annually – never materialised. The recent increase in Nato’s military spending makes that possibility even more remote. Attacks on international institutions ignore the concrete benefits the multilateral system has brought to people’s lives. If smallpox has been eradicated, the ozone layer preserved and labour rights still protected in much of the world, it is thanks to the efforts of these institutions. In times of growing polarisation, terms such as “deglobalisation” have become commonplace. But it is impossible to “deplanetise” our shared existence. No wall is high enough to preserve islands of peace and prosperity surrounded by violence and misery. Today’s world is vastly different from that of 1945. New forces have emerged, and new challenges have arisen. If international organisations seem ineffective, it is because their structure no longer reflects the current reality. Unilateral and exclusionary actions are worsened by the absence of collective leadership. The solution to the multilateralism crisis is not to abandon it, but to rebuild it on fairer and more inclusive foundations. This is the understanding that Brazil – whose vocation has always been to foster collaboration among nations – demonstrated during its G20 presidency last year and continues to demonstrate through its presidencies of the Brics and Cop 30 this year: that it is possible to find common ground even in adverse scenarios. There is an urgent need to recommit to diplomacy and rebuild the foundations of true multilateralism – one capable of answering the outcry of a humanity fearful for its future. Only then can we stop passively watching the rise of inequality, the senselessness of war and the destruction of our own planet. Luiz Inácio Lula da Silva is the president of Brazil Do you have an opinion on the issues raised in this article? If you would like to submit a response of up to 300 words by email to be considered for publication in our letters section, please click here.",Globalisation; Climate crisis; United Nations; Nato; World Trade Organization; Cop30; World news; Business; Environment,Opinion
2025-07-01T14:55:48Z,Obama and Bush call Trump’s USAID closure a ‘travesty’ as report warns of 14 million extra deaths,https://www.theguardian.com/global-development/2025/jul/01/obama-bush-trump-usaid-closure-lancet-report-warns-extra-deaths,"Barack Obama and George W Bush have criticised the closure of the US Agency for International Development (USAID), as a study warned it could result in “a staggering number” of avoidable deaths – more than 14 million over five years. The former US presidents made rare public criticisms of the Trump administration as they took part in a video farewell for USAID staffers on Monday on its last day as an independent organisation. In March, the US secretary of state, Marco Rubio, announced that 83% of USAID’s programmes had been cancelled. The agency is being folded into the state department, where it is to be replaced by a successor organisation called America First. A study published in the Lancet found the cuts could cause more than 14 million additional deaths by 2030, with a third of those among children. USAID funding for health care, nutrition, humanitarian aid, development, education and related sectors have helped prevent more than 91 million deaths in low- and middle-income countries over the past two decades, the multinational group of researchers calculated. They concluded: “Unless the abrupt funding cuts announced and implemented in the first half of 2025 are reversed, a staggering number of avoidable deaths could occur by 2030.” For many of the world’s poorer countries “the resulting shock would be similar in scale to a global pandemic or a major armed conflict”, they said, but “would stem from a conscious and avoidable policy choice”. “From our experience on the ground, we have witnessed how USAID support has strengthened local health systems’ ability to respond to diseases like HIV, malaria, and tuberculosis,” said Francisco Saúte, general director at the Manhiça Health Research Centre and co-author of the study. “Cutting this funding now not only puts lives at risk –it also undermines critical infrastructure that has taken decades to build.” The researchers said reductions in spending by other international donors would potentially lead to even more additional deaths. USAID was founded six decades ago by president John F Kennedy and had, until recently, enjoyed broad bipartisan support. However, it was aggressively targeted by the current administration. Donald Trump claimed the agency was run by “radical left lunatics” and rife with “tremendous fraud”. Elon Musk called it “a criminal organisation”. In a recorded message played in a video conference for USAID staffers on Monday, Obama said that dismantling the agency was “a colossal mistake”. The call was closed to the media, but parts of the video were shared with the Associated Press. “Gutting USAID is a travesty, and it’s a tragedy. Because it’s some of the most important work happening anywhere in the world,” said Obama, crediting the organisation with saving lives and playing a role in economic growth that turned recipients into US trade partners. He predicted that “sooner or later, leaders on both sides of the aisle will realise how much you are needed”, adding: “your work has mattered and will matter for generations to come.” In his message, Bush spoke about cuts to the President’s Emergency Plan for Aids Relief (Pepfar), which is credited with saving more than 25 million lives. He said: “Is it in our national interests that 25 million people who would have died now live? I think it is, and so do you.” He told attendees: “You’ve showed the great strength of America through your work – and that is your good heart.” Pepfar was due to play a big role in the rollout of new, long-acting drugs to prevent HIV in poorer countries later this year; the cuts have left global health advocates unsure whether the plans will go ahead as hoped. The video conference was reportedly attended by thousands, including many joining from overseas. Singer Bono recited a poem he had written for the occasion, telling staffers: “They called you crooks/When you were the best of us.” The Trump administration’s closure of USAID has faced legal challenges and been criticised for its abrupt nature, with organisations that had received grants ordered to stop work with immediate effect in February, and staff terminated via mass emails. Monday’s call also featured former Liberian president Ellen Johnson Sirleaf, former Colombian president Juan Manuel Santos and former US ambassador to the UN Linda Thomas-Greenfield. Humanitarian workers also participated, including one who told the story of the welcome appearance of USAID workers with food when she was a frightened 8-year-old child in a camp for Liberian refugees. USAID was the world’s leading donor for humanitarian and development aid. In 2023, funding from the US accounted for 43% of government donations to the humanitarian system, the Lancet authors said. “These findings come at a critical moment,” said Davide Rasella, ICREA research professor at ISGlobal and coordinator of the study, pointing to a UN summit in Seville this week discussing financing for development. “If we want to achieve the SDGs [sustainable development goals], we cannot afford to dismantle funding mechanisms – like USAID – that have already proven to save millions of lives. Now is the time to scale up, not scale back.”",Global development; USAID; Aid; World news; Global health; Trump administration; Barack Obama; George Bush; US news; US politics,Global development
